NACA0012_81
1.0000000000 -0.0000000000
0.9984586669 0.0002238086
0.9938441703 0.0008911863
0.9861849602 0.0019901642
0.9755282581 0.0035013623
0.9619397663 0.0053987845
0.9455032621 0.0076508216
0.9263200822 0.0102213676
0.9045084972 0.0130709457
0.8802029828 0.0161577445
0.8535533906 0.0194384764
0.8247240242 0.0228689965
0.7938926261 0.0264046500
0.7612492824 0.0300003508
0.7269952499 0.0336104300
0.6913417162 0.0371883221
0.6545084972 0.0406861839
0.6167226819 0.0440545518
0.5782172325 0.0472421489
0.5392295479 0.0501959383
0.5000000000 0.0528615020
0.4607704521 0.0551837883
0.4217827675 0.0571082323
0.3832773181 0.0585822126
0.3454915028 0.0595567645
0.3086582838 0.0599884335
0.2730047501 0.0598411270
0.2387507176 0.0590878056
0.2061073739 0.0577118565
0.1752759758 0.0557080051
0.1464466094 0.0530826501
0.1197970172 0.0498535489
0.0954915028 0.0460488284
0.0736799178 0.0417053531
0.0544967379 0.0368665348
0.0380602337 0.0315797178
0.0244717419 0.0258933127
0.0138150398 0.0198538796
0.0061558297 0.0135033681
0.0015413331 0.0068767182
0.0000000000 0.0000000000
0.0015413331 -0.0068767182
0.0061558297 -0.0135033681
0.0138150398 -0.0198538796
0.0244717419 -0.0258933127
0.0380602337 -0.0315797178
0.0544967379 -0.0368665348
0.0736799178 -0.0417053531
0.0954915028 -0.0460488284
0.1197970172 -0.0498535489
0.1464466094 -0.0530826501
0.1752759758 -0.0557080051
0.2061073739 -0.0577118565
0.2387507176 -0.0590878056
0.2730047501 -0.0598411270
0.3086582838 -0.0599884335
0.3454915028 -0.0595567645
0.3832773181 -0.0585822126
0.4217827675 -0.0571082323
0.4607704521 -0.0551837883
0.5000000000 -0.0528615020
0.5392295479 -0.0501959383
0.5782172325 -0.0472421489
0.6167226819 -0.0440545518
0.6545084972 -0.0406861839
0.6913417162 -0.0371883221
0.7269952499 -0.0336104300
0.7612492824 -0.0300003508
0.7938926261 -0.0264046500
0.8247240242 -0.0228689965
0.8535533906 -0.0194384764
0.8802029828 -0.0161577445
0.9045084972 -0.0130709457
0.9263200822 -0.0102213676
0.9455032621 -0.0076508216
0.9619397663 -0.0053987845
0.9755282581 -0.0035013623
0.9861849602 -0.0019901642
0.9938441703 -0.0008911863
0.9984586669 -0.0002238086
1.0000000000 0.0000000000
